timestamp,cpu_percent,memory_percent,swap_percent,disk_usage_percent,disk_read_bytes_delta,disk_write_bytes_delta,disk_read_count_delta,disk_write_count_delta,bytes_sent_delta,bytes_recv_delta,packets_sent_delta,packets_recv_delta,process_count,new_processes,new_unique_processes,tcp_total,tcp_established,tcp_time_wait,tcp_close_wait,tcp_listen,hour,weekday
2026-08-06 01:46:19,15.0,92.2,7.2,22.8,177398784,150474752,546,153,10187,7891,18,24,210,0,0,69,27,11,1,30,1,3
2026-08-06 01:46:24,13.4,92.0,7.2,22.8,161086464,142426112,414,178,3773,679,6,7,210,0,0,69,26,12,1,30,1,3
2026-08-06 01:46:29,15.5,91.5,7.2,22.9,90338816,69763072,404,97,3586,395,3,4,209,0,0,69,26,12,1,30,1,3
2026-08-06 01:46:34,13.7,90.7,7.8,22.9,122955264,136007680,489,145,3992,1077,9,12,209,0,0,57,24,2,1,30,1,3
2026-08-06 01:46:39,13.6,90.9,7.8,22.9,203629568,187932672,465,263,3866,762,6,6,209,0,0,57,24,2,1,30,1,3
2026-08-06 01:46:44,13.8,90.9,7.8,22.9,174070784,166744064,242,163,3586,395,3,4,209,0,0,57,24,2,1,30,1,3
2026-08-06 01:46:49,16.1,91.2,7.8,22.9,190298624,197267456,577,234,3736,567,5,6,208,0,0,57,24,2,1,30,1,3
2026-08-06 01:46:54,16.2,91.4,7.8,22.9,193889792,195772416,792,227,21067,8569,20,31,208,0,0,58,25,2,1,30,1,3
2026-08-06 01:46:59,15.2,91.2,7.8,23.0,192325120,185937920,815,216,10319,17635,27,33,209,1,0,59,26,2,1,30,1,3
2026-08-06 01:47:04,17.7,91.7,7.8,23.0,218081280,198479872,988,229,30999,23317,45,61,208,0,0,60,28,1,1,30,1,3
2026-08-06 01:47:09,18.1,90.5,7.8,23.0,297655808,196157440,2379,279,13654,2467,21,20,201,2,1,35,9,2,1,23,1,3
2026-08-06 01:47:14,17.5,67.6,3.3,23.0,304172032,123662336,2745,237,14805,826,13,8,187,0,0,32,6,3,1,22,1,3
2026-08-06 01:47:19,13.8,68.6,3.3,23.0,192427008,127881216,379,172,64760,95406,71,114,187,0,0,34,8,3,1,22,1,3
2026-08-06 01:47:24,11.9,68.8,3.3,23.0,186472960,166813696,566,245,44218,9013,20,42,187,0,0,34,8,3,1,22,1,3
2026-08-06 01:47:29,13.0,67.9,3.3,23.1,189355520,193945600,645,275,12588,15449,26,30,187,0,0,35,9,3,1,22,1,3
2026-08-06 01:47:34,12.2,67.8,3.3,23.1,189387776,147349504,543,178,2458,2754,10,9,186,0,0,35,9,3,1,22,1,3
2026-08-06 01:47:40,12.1,68.0,3.3,23.1,197981696,141688832,566,238,3638,5412,15,13,186,0,0,35,9,3,1,22,1,3
2026-08-06 01:47:45,11.0,67.3,3.3,23.1,209393664,130564096,541,164,4288,6703,15,14,186,0,0,35,9,3,1,22,1,3
2026-08-06 01:47:50,11.4,66.5,3.3,23.1,178589696,115793920,769,144,1002,2412,4,4,186,0,0,35,9,3,1,22,1,3
2026-08-06 01:47:55,15.4,66.9,3.3,23.1,165965824,70496256,717,226,99181,59234,55,96,186,0,0,35,9,3,1,22,1,3
2026-08-06 01:48:00,20.2,67.3,3.3,23.1,186729472,79286272,809,142,103471,76380,72,132,186,0,0,35,9,3,1,22,1,3
2026-08-06 01:48:05,20.3,67.5,3.3,23.1,163389952,83484672,726,112,33369,33428,33,51,186,0,0,35,9,3,1,22,1,3
2026-08-06 01:48:10,13.2,67.5,3.3,23.1,295235072,56406016,1397,148,128680,18027,37,82,186,0,0,35,9,3,1,22,1,3
2026-08-06 01:48:15,12.2,68.3,3.3,23.2,186463744,94044160,425,124,48878,7030,19,30,186,0,0,35,9,3,1,22,1,3
2026-08-06 01:48:20,12.2,67.7,3.0,23.2,213163008,110882816,1599,198,124,280,1,3,186,0,0,35,9,3,1,22,1,3
2026-08-06 01:48:25,12.1,67.6,3.0,23.2,228327424,44457984,980,80,53294,8944,16,43,186,0,0,34,8,2,2,22,1,3
2026-08-06 01:48:30,13.1,67.6,3.0,23.2,232800256,44572672,1000,139,32438,5763,11,32,186,0,0,34,7,3,2,22,1,3
2026-08-06 01:48:35,13.0,67.8,3.0,23.2,213123072,44658688,915,114,0,0,0,0,186,0,0,34,7,3,2,22,1,3
2026-08-06 01:48:40,13.3,67.8,3.0,23.2,188575744,36782080,815,50,14770,1917,5,15,185,0,0,34,7,3,2,22,1,3
2026-08-06 01:48:45,14.2,67.7,3.0,23.2,207522304,44560384,904,72,0,0,0,0,185,0,0,34,7,3,2,22,1,3
2026-08-06 01:48:50,14.4,67.7,3.0,23.2,213655552,36974592,919,87,0,0,0,0,185,0,0,34,7,3,2,22,1,3
2026-08-06 01:48:55,11.8,67.5,3.0,23.2,222007296,44376576,964,85,38789,47128,60,78,185,0,0,36,8,4,2,22,1,3
