timestamp,cpu_percent,memory_percent,swap_percent,disk_usage_percent,disk_read_bytes_delta,disk_write_bytes_delta,disk_read_count_delta,disk_write_count_delta,bytes_sent_delta,bytes_recv_delta,packets_sent_delta,packets_recv_delta,process_count,new_processes,new_unique_processes,tcp_total,tcp_established,tcp_time_wait,tcp_close_wait,tcp_listen,hour,weekday
2026-08-08 17:55:00,20.0,89.3,4.1,23.4,17,5,706560,14938112,15,74,754848,21475123,10008,15460,226,0,0,163,115,11,6,30
2026-08-08 17:55:05,13.2,89.8,4.1,23.4,17,5,1037312,30330880,24,92,732878,25404904,9422,18291,227,1,0,162,114,11,6,30
2026-08-08 17:55:10,15.4,90.5,4.1,23.4,17,5,35224576,26210304,1016,247,798146,26164836,9299,18887,227,1,0,161,117,8,5,30
2026-08-08 17:55:15,15.5,90.7,4.1,23.4,17,5,3810304,22749184,177,232,925157,26158204,10041,19062,228,2,0,161,122,7,2,30
2026-08-08 17:55:20,12.8,90.4,4.1,23.4,17,5,1720320,28696576,50,210,1087547,24113351,14473,17354,227,0,0,159,118,7,4,30
2026-08-08 17:55:25,13.8,90.4,4.1,23.4,17,5,1202176,18235392,36,136,807136,17706644,10581,12792,228,2,0,151,110,6,5,30
2026-08-08 17:55:30,15.5,90.7,4.1,23.4,17,5,5295104,21082624,158,377,1123323,16309127,11768,11869,227,0,0,167,117,6,5,30
2026-08-08 17:55:35,18.0,91.3,4.1,23.4,17,5,3410944,10310144,87,193,755340,10875820,7210,8018,227,0,0,170,128,6,5,30
2026-08-08 17:55:40,15.1,91.3,4.1,23.4,17,5,1618944,10289152,47,240,541935,6558722,5248,5026,227,1,0,172,134,3,5,30
2026-08-08 17:55:45,12.9,90.9,4.1,23.4,17,5,4602368,8888320,48,171,356492,8398424,3946,6119,227,1,0,175,136,3,5,30
2026-08-08 17:55:50,18.8,92.5,4.1,23.4,17,5,1775104,10493952,59,236,568997,11041144,6220,8116,227,0,0,172,134,3,5,30
2026-08-08 17:55:55,15.1,92.8,4.1,23.4,17,5,4114432,14434304,102,200,563919,11110124,6745,8184,227,0,0,170,133,2,5,30
2026-08-08 17:56:00,12.4,92.6,4.1,23.4,17,5,1992192,18272256,57,150,777443,18794257,9758,13710,227,0,0,171,134,2,4,30
2026-08-08 17:56:05,12.1,92.6,4.1,23.4,17,5,1486848,13225984,44,63,747515,15051980,9346,10954,227,0,0,170,132,3,4,30
2026-08-08 17:56:10,13.4,93.1,4.1,23.4,17,5,2031616,21000192,63,79,1229189,22956304,15269,16829,227,0,0,173,134,5,2,30
2026-08-08 17:56:15,11.9,93.0,4.1,23.4,17,5,7512064,30380032,59,179,1059837,20517514,13301,14953,227,0,0,165,128,5,0,30
2026-08-08 17:56:20,14.1,93.5,4.1,23.4,17,5,1179648,21827584,46,128,956380,20143311,12224,14688,227,0,0,165,127,6,0,30
